page-link,name,price,adresse,image-link,devise,quartier,ville,pays
https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-1959031,CHiots Pitbull,90000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1959031_uploaded_image1_1587075773.91.jpeg""); width: 436px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/femelles-metisse-rock-4-chiennes-1984265,Femelles  métisse rock / 4 chiennes,50000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1984265_uploaded_image1_1587479748.47.jpeg""); width: 583px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2047517,Chiot Chowchow,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2047517_uploaded_image1_1588470753.jpg""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2062558,Chiot Berger Allemand,250000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2062558_uploaded_image1_1588702072.jpg""); width: 429px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-can-corso-2062566,Chiot Can Corso,300000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2062566_uploaded_image1_1588702172.jpg""); width: 429px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbone-2063869,Berger malinois charboné,300000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2063869_uploaded_image1_1588722042.jpg""); width: 429px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-berger-amstaff-2082208,Chiots Berger Amstaff,130000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2082208_uploaded_image1_1588983812.jpg""); width: 615px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-yorkshire-caniche-2107633,Chiots Yorkshire/caniche,200000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2107633_uploaded_image1_1589392557.jpg""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-rockweile-2119461,Chiots rockweile,290000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2119461_uploaded_image2_1589565559.jpeg""); width: 436px;",CFA,"Mermoz-Sacré-Cœur,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2151223,Chiots Rottweiler,300000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2151223_uploaded_image1_1590064972.jpg""); width: 529px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-chon-2151616,Chiot Yorkie_Chon,300000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2151616_uploaded_image1_1592169330.jpg""); width: 498px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2155097,Chiot chowchow,Sur demande,"Fann, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2155097_uploaded_image1_1590127308.jpg""); width: 488px;",Non défini,"Fann,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/bichons-2181152,Bichons,350000,"Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2181152_uploaded_image1_1590585289.jpg""); width: 395px;",CFA,"Ngor,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chien-2209275,Chien,65000,"Gibraltar, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2209275_uploaded_image1_1591023390.jpg""); width: 425px;",CFA,"Gibraltar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/berger-blanc-suisse-2211811,Berger blanc suisse,150000,"Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/2211811_uploaded_image1_1591059036.jpg""); width: 496px;",CFA,Saint,"Louis,",Sénégal
https://sn.coinafrique.com/annonce/chiens/berger-allemand-pure-sang-2217466,Berger allemand pure sang,150000,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2217466_uploaded_image1_1591135619.jpg""); width: 387px;",CFA,Point,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/berger-allemand-pur-sang-2217470,Berger allemand pur sang,150000,"Point E, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2217470_uploaded_image1_1591135735.jpg""); width: 387px;",CFA,Point,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2230488,Chiots berger allemand,175000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2230488_uploaded_image1_1591320628.jpg""); width: 448px;",CFA,"Guediawaye,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-berger-belge-malinois-2244294,Chiots berger belge malinois,150000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2244294_uploaded_image1_1591560490.jpg""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiot-berger-blanc-2250259,Chiot Berger blanc,170000,"Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/2250259_uploaded_image1_1591646066.jpg""); width: 496px;",CFA,Saint,"Louis,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-berger-2277897,Chiots Berger,160000,"Saint Louis, Sénégal","background-image: url(""https://images.coinafrique.com/2277897_uploaded_image1_1592046957.jpg""); width: 496px;",CFA,Saint,"Louis,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2299686,Chiots Rottweiler,400000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2299686_uploaded_image1_1592393679.jpg""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-2300480,Berger Allemand femelle,250000,"Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2300480_uploaded_image1_1592400668.jpg""); width: 529px;",CFA,"Fass,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/caniche-2308946,Caniche,240000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2308946_uploaded_image1_1592507915.jpg""); width: 417px;",CFA,Mermoz-Sacré,"Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2324363,Chiots Bichons,350000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2324363_uploaded_image1_1592781561.jpg""); width: 369px;",CFA,"Dakar,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/chien-berger-malinois-2331869,Chien berger malinois,150000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2331869_uploaded_image1_1592905487.jpg""); width: 369px;",CFA,"Yoff,","Dakar,",Sénégal
https://sn.coinafrique.com/annonce/chiens/berger-allemand-2354463,Berger allemand,350000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2354463_uploaded_image1_1593244171.jpg""); width: 532px;",CFA,"Dakar,","Dakar,",Sénégal
